&{4 0 0xc0000044f8} , 1 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 1 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 1 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 1 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 1 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 0 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 1 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 2 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 2 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 0 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 1 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 2 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 3 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 4 , 0 , illegal knight move
&{4 0 0xc0000044f8} , 4 , 1 , test
&{4 0 0xc0000044f8} , 4 , 2 , illegal knight move
&{4 0 0xc0000044f8} , 4 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 4 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 4 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 4 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 4 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 5 , 0 , illegal knight move
&{4 0 0xc0000044f8} , 5 , 1 , illegal knight move
&{4 0 0xc0000044f8} , 5 , 2 , test
&{4 0 0xc0000044f8} , 5 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 5 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 5 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 5 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 5 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 6 , 1 , illegal knight move
&{4 0 0xc0000044f8} , 6 , 2 , illegal knight move
&{4 0 0xc0000044f8} , 6 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 6 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 6 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 6 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 6 , 7 , illegal knight move
&{4 0 0xc0000044f8} , 7 , 0 , illegal knight move
&{4 0 0xc0000044f8} , 7 , 1 , illegal knight move
&{4 0 0xc0000044f8} , 7 , 2 , square occupied by an ally piece
&{4 0 0xc0000044f8} , 7 , 3 , illegal knight move
&{4 0 0xc0000044f8} , 7 , 4 , illegal knight move
&{4 0 0xc0000044f8} , 7 , 5 , illegal knight move
&{4 0 0xc0000044f8} , 7 , 6 , illegal knight move
&{4 0 0xc0000044f8} , 7 , 7 , illegal knight move
&{5 0 0xc0000041f8} , 0 , 0 , illegal bishop move
&{5 0 0xc0000041f8} , 0 , 1 , illegal bishop move
&{5 0 0xc0000041f8} , 0 , 2 , bishop blocked
&{5 0 0xc0000041f8} , 0 , 3 , illegal bishop move
&{5 0 0xc0000041f8} , 0 , 4 , illegal bishop move
&{5 0 0xc0000041f8} , 0 , 5 , illegal bishop move
&{5 0 0xc0000041f8} , 0 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 0 , 7 , illegal bishop move
&{5 0 0xc0000041f8} , 1 , 0 , illegal bishop move
&{5 0 0xc0000041f8} , 1 , 1 , square occupied by an ally piece
&{5 0 0xc0000041f8} , 1 , 2 , illegal bishop move
&{5 0 0xc0000041f8} , 1 , 3 , illegal bishop move
&{5 0 0xc0000041f8} , 1 , 4 , illegal bishop move
&{5 0 0xc0000041f8} , 1 , 5 , illegal bishop move
&{5 0 0xc0000041f8} , 1 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 1 , 7 , illegal bishop move
&{5 0 0xc0000041f8} , 2 , 1 , illegal bishop move
&{5 0 0xc0000041f8} , 2 , 2 , illegal bishop move
&{5 0 0xc0000041f8} , 2 , 3 , illegal bishop move
&{5 0 0xc0000041f8} , 2 , 4 , illegal bishop move
&{5 0 0xc0000041f8} , 2 , 5 , illegal bishop move
&{5 0 0xc0000041f8} , 2 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 2 , 7 , illegal bishop move
&{5 0 0xc0000041f8} , 3 , 0 , illegal bishop move
&{5 0 0xc0000041f8} , 3 , 1 , square occupied by an ally piece
&{5 0 0xc0000041f8} , 3 , 2 , illegal bishop move
&{5 0 0xc0000041f8} , 3 , 3 , illegal bishop move
&{5 0 0xc0000041f8} , 3 , 4 , illegal bishop move
&{5 0 0xc0000041f8} , 3 , 5 , illegal bishop move
&{5 0 0xc0000041f8} , 3 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 3 , 7 , illegal bishop move
&{5 0 0xc0000041f8} , 4 , 0 , illegal bishop move
&{5 0 0xc0000041f8} , 4 , 1 , illegal bishop move
&{5 0 0xc0000041f8} , 4 , 2 , bishop blocked
&{5 0 0xc0000041f8} , 4 , 3 , illegal bishop move
&{5 0 0xc0000041f8} , 4 , 4 , illegal bishop move
&{5 0 0xc0000041f8} , 4 , 5 , illegal bishop move
&{5 0 0xc0000041f8} , 4 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 4 , 7 , illegal bishop move
&{5 0 0xc0000041f8} , 5 , 0 , illegal bishop move
&{5 0 0xc0000041f8} , 5 , 1 , illegal bishop move
&{5 0 0xc0000041f8} , 5 , 2 , illegal bishop move
&{5 0 0xc0000041f8} , 5 , 3 , bishop blocked
&{5 0 0xc0000041f8} , 5 , 4 , illegal bishop move
&{5 0 0xc0000041f8} , 5 , 5 , illegal bishop move
&{5 0 0xc0000041f8} , 5 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 5 , 7 , illegal bishop move
&{5 0 0xc0000041f8} , 6 , 0 , illegal bishop move
&{5 0 0xc0000041f8} , 6 , 1 , illegal bishop move
&{5 0 0xc0000041f8} , 6 , 2 , illegal bishop move
&{5 0 0xc0000041f8} , 6 , 3 , illegal bishop move
&{5 0 0xc0000041f8} , 6 , 4 , bishop blocked
&{5 0 0xc0000041f8} , 6 , 5 , illegal bishop move
&{5 0 0xc0000041f8} , 6 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 6 , 7 , illegal bishop move
&{5 0 0xc0000041f8} , 7 , 0 , illegal bishop move
&{5 0 0xc0000041f8} , 7 , 1 , illegal bishop move
&{5 0 0xc0000041f8} , 7 , 2 , illegal bishop move
&{5 0 0xc0000041f8} , 7 , 3 , illegal bishop move
&{5 0 0xc0000041f8} , 7 , 4 , illegal bishop move
&{5 0 0xc0000041f8} , 7 , 5 , bishop blocked
&{5 0 0xc0000041f8} , 7 , 6 , illegal bishop move
&{5 0 0xc0000041f8} , 7 , 7 , illegal bishop move
&{5 0 0xc000004438} , 0 , 0 , illegal bishop move
&{5 0 0xc000004438} , 0 , 1 , illegal bishop move
&{5 0 0xc000004438} , 0 , 2 , illegal bishop move
&{5 0 0xc000004438} , 0 , 3 , illegal bishop move
&{5 0 0xc000004438} , 0 , 4 , illegal bishop move
&{5 0 0xc000004438} , 0 , 5 , test
&{5 0 0xc000004438} , 0 , 6 , illegal bishop move
&{5 0 0xc000004438} , 0 , 7 , illegal bishop move
&{5 0 0xc000004438} , 1 , 0 , illegal bishop move
&{5 0 0xc000004438} , 1 , 1 , illegal bishop move
&{5 0 0xc000004438} , 1 , 2 , illegal bishop move
&{5 0 0xc000004438} , 1 , 3 , illegal bishop move
&{5 0 0xc000004438} , 1 , 4 , test
&{5 0 0xc000004438} , 1 , 5 , illegal bishop move
&{5 0 0xc000004438} , 1 , 6 , illegal bishop move
&{5 0 0xc000004438} , 1 , 7 , illegal bishop move
